iter	Logloss
226	0.4923608667
227	0.4922829154
228	0.4921339549
229	0.4918971678
230	0.4918158075
231	0.4916972587
232	0.4915234307
233	0.4914132669
234	0.4912758207
235	0.4910932148
236	0.4908476969
237	0.4907290215
238	0.490624506
239	0.4905381642
240	0.4903974198
241	0.4902782608
242	0.4900798939
243	0.4899411621
244	0.4898274497
245	0.4895731005
246	0.4895001681
247	0.4893298324
248	0.4892023352
249	0.4889672934
250	0.4888877123
251	0.4887399614
252	0.4886471885
253	0.4883466654
254	0.4882201294
255	0.4880527448
256	0.4878852888
257	0.4877905873
258	0.4876543891
259	0.4874577391
260	0.4873557223
261	0.4871814188
262	0.4870275434
263	0.4868481977
264	0.4867353978
265	0.4865640537
266	0.4863234671
267	0.486156209
268	0.4859966151
269	0.4858471624
270	0.4856483764
271	0.4855027969
272	0.4852843556
273	0.4850643238
274	0.4849262115
275	0.4847523531
276	0.48461441
277	0.4844428523
278	0.4841535464
279	0.4839604097
280	0.4837394143
281	0.4836252312
282	0.4834850427
283	0.4833132736
284	0.4831684137
285	0.4830358914
286	0.4829045315
287	0.4827106488
288	0.4824906548
289	0.4823267123
290	0.4821902105
291	0.4820594845
292	0.4818417036
293	0.4816511004
294	0.4814081036
295	0.4810979396
296	0.4808624382
297	0.4805384175
298	0.4803879056
299	0.4802523
300	0.4799670646
301	0.4797612265
302	0.4796321941
303	0.4794165447
304	0.4792937217
305	0.4791267876
306	0.4789738126
307	0.4787445938
308	0.4786456678
309	0.4784901119
310	0.4783790949
311	0.4782427329
312	0.4780470697
313	0.4778207717
314	0.4776118307
315	0.4774992821
316	0.4773582245
317	0.477226634
318	0.47701915
319	0.4768378475
320	0.4766748279
321	0.4765053617
322	0.4763656068
323	0.4762351352
324	0.4761303098
325	0.4760006609
326	0.4758629547
327	0.4757425239
328	0.47563361
329	0.4754605584
330	0.4752562017
331	0.4751531065
332	0.4749518469
333	0.474868306
334	0.4747258488
335	0.4746230653
336	0.4745169162
337	0.4744065235
338	0.474218283
339	0.4740319603
340	0.4738021093
341	0.4736443128
342	0.4735225037
343	0.4733595407
344	0.4730893152
345	0.4729906851
346	0.4728732904
347	0.4727321527
348	0.4726148346
349	0.4724308916
350	0.4723116195
351	0.4721292389
352	0.4720199986
353	0.4719290562
354	0.4717747906
355	0.4716408049
356	0.4715205958
357	0.4713356398
358	0.4711698608
359	0.4710113121
360	0.4708582018
361	0.4707456489
362	0.4706482115
363	0.4705268901
364	0.4704139678
365	0.4702762398
366	0.4701550695
367	0.4700590044
368	0.4699606466
369	0.4698192521
370	0.4697240004
371	0.4696548964
372	0.469436316
373	0.4693197728
374	0.4691579368
375	0.4690584138
376	0.4689706626
377	0.4688446263
378	0.4687535668
379	0.4685865418
380	0.4684799103
381	0.4683406441
382	0.4682371267
383	0.4680945383
384	0.4679461068
385	0.4677441921
386	0.4675997264
387	0.4674566555
388	0.4673541475
389	0.4671984634
390	0.4670735761
391	0.4669781769
392	0.4669034999
393	0.466730768
394	0.466573394
395	0.4664703808
396	0.4662744173
397	0.4661393038
398	0.4660405562
399	0.4659527963
400	0.4658392358
401	0.465746231
402	0.4656271073
403	0.4653945422
404	0.4652945127
405	0.4651367579
406	0.465046531
407	0.4649151231
408	0.4647762455
409	0.4646900068
410	0.4645790075
411	0.4644544237
412	0.4643048736
413	0.4642043428
414	0.4640304504
415	0.4639053701
416	0.4637985151
417	0.4636977971
418	0.4636016258
419	0.4635144201
420	0.4634217545
421	0.4633258401
422	0.4632175334
423	0.4630952021
424	0.462990388
425	0.4629133202
426	0.4628256269
427	0.4627341266
428	0.4625981009
429	0.4625277016
430	0.4623952313
431	0.4623275694
432	0.4622686993
433	0.4621820338
434	0.4620701422
435	0.4619278676
436	0.4617630666
437	0.4616927334
438	0.4615578342
439	0.4614002079
440	0.4613231335
441	0.4611520364
442	0.4610640021
443	0.4609761922
444	0.4608783954
445	0.460709075
446	0.4605546028
447	0.4604427521
448	0.4603427023
449	0.4602365875
450	0.4601095627
451	0.4599569308
452	0.4598698462
453	0.4597766647
454	0.4596661845
455	0.4595436654
456	0.4593717114
457	0.4592936993
458	0.4591562391
459	0.4590567782
460	0.4589695082
461	0.458800554
462	0.4586669189
463	0.4585941877
464	0.4585224139
465	0.4583753603
466	0.4582900557
467	0.4581124702
468	0.4579426113
469	0.4577756312
470	0.4576755614
471	0.4575181499
472	0.457369997
473	0.4572558101
474	0.4571592776
475	0.4570418574
476	0.45695569
477	0.4568376001
478	0.456737981
479	0.4566446572
480	0.4565475782
481	0.456430126
482	0.4562913187
483	0.4561701853
484	0.4560453879
485	0.4559501142
486	0.4558263802
487	0.4557037
488	0.4556257095
489	0.4555272522
490	0.4553960471
491	0.4552968399
492	0.4551745162
493	0.4550930076
494	0.4549994727
495	0.4548637041
496	0.4547870796
497	0.4547072493
498	0.4544599917
499	0.4543929004
