iter	Logloss
0	0.6781342097
1	0.6650276823
2	0.6527697477
3	0.6424209882
4	0.6325240413
5	0.6244327716
6	0.6170112943
7	0.6095505949
8	0.6033263127
9	0.5978073179
10	0.5931268089
11	0.5889285159
12	0.5851617225
13	0.5817117677
14	0.5781937075
15	0.5748375387
16	0.5723556652
17	0.5690126182
18	0.5664292136
19	0.5640684529
20	0.5618479573
21	0.5594115583
22	0.5573968787
23	0.5563194498
24	0.5550378684
25	0.5532324019
26	0.5516300131
27	0.5504948419
28	0.5492251712
29	0.5478679915
30	0.5466286544
31	0.5454407655
32	0.544361761
33	0.5433284668
34	0.5422930876
35	0.5413850751
36	0.5405385048
37	0.5396457854
38	0.538855668
39	0.5379889591
40	0.5372826511
41	0.5366832167
42	0.535768456
43	0.5348213684
44	0.5341564011
45	0.533663834
46	0.5329615351
47	0.532430507
48	0.5318708316
49	0.5312774931
50	0.5307372441
51	0.5304079868
52	0.529947078
53	0.5292616154
54	0.5288205935
55	0.5282791864
56	0.5276777666
57	0.5273245977
58	0.5269193689
59	0.5265516213
60	0.5255243275
61	0.5251360322
62	0.5246554434
63	0.5244143268
64	0.5239518673
65	0.5235461186
66	0.5230946601
67	0.5226191731
68	0.5221783259
69	0.5218479833
70	0.5215587789
71	0.5213262723
72	0.521122155
73	0.5205932313
74	0.5203569651
75	0.5201177926
76	0.5197581778
77	0.519489648
78	0.5191282984
79	0.5187215667
80	0.5181471838
81	0.5178693276
82	0.5175932362
83	0.5172680362
84	0.5171005413
85	0.5167705426
86	0.5166023109
87	0.5161520842
88	0.5158385289
89	0.5155652849
90	0.5153838378
91	0.514917639
92	0.5145382638
93	0.5143789012
94	0.5141411431
95	0.5138125129
96	0.5136918792
97	0.5134297604
98	0.5130534001
99	0.5128776074
100	0.5127039457
101	0.5125581065
102	0.5124697036
103	0.5122405641
104	0.5119936098
105	0.5116624997
106	0.5114873789
107	0.5111859933
108	0.5109186633
109	0.5107665206
110	0.5104709425
111	0.5102082369
112	0.5100327857
113	0.5098314283
114	0.5095960937
115	0.5093330798
116	0.5091961654
117	0.508912341
118	0.5086582189
119	0.5085036713
120	0.5083370427
121	0.5080955367
122	0.5077994611
123	0.5076460118
124	0.5073621455
125	0.5070626047
126	0.5067339582
127	0.5065404624
128	0.5064330137
129	0.5063103872
130	0.5061705755
131	0.5060431665
132	0.5059008176
133	0.5056943714
134	0.5055159737
135	0.505420948
136	0.5053171074
137	0.5051799412
138	0.5050137737
139	0.5047827108
140	0.5046418036
141	0.5044738912
142	0.5042373109
143	0.5041103484
144	0.5039831503
145	0.5038098927
146	0.503672818
147	0.5035963823
148	0.5034089402
149	0.5032380935
150	0.5029992923
151	0.5027985632
152	0.5026166195
153	0.5024746468
154	0.502222817
155	0.5021086736
156	0.5020037867
157	0.5019142157
158	0.5018530358
159	0.5017225095
160	0.5015565872
161	0.5013647304
162	0.5011981529
163	0.5010121874
164	0.5009551778
165	0.5008348727
166	0.500745909
167	0.5005470469
168	0.5002814589
169	0.5002330386
170	0.5001313793
171	0.5000139371
172	0.4998903029
173	0.4997408553
174	0.4995484531
175	0.4994164653
176	0.4992543059
177	0.4990112027
178	0.4987698852
179	0.4983396552
180	0.4982258475
181	0.4979701137
182	0.4978535206
183	0.497722728
184	0.4975271475
185	0.4973653179
186	0.4972603852
187	0.4970342525
188	0.4969264473
189	0.4967788785
190	0.4966837489
191	0.4965813444
192	0.4965194792
193	0.4964149789
194	0.4963587741
195	0.4962368112
196	0.4960121892
197	0.4958836504
198	0.4957015118
199	0.4956114215
200	0.4954709624
201	0.4953578904
202	0.4952233808
203	0.4950789851
204	0.4949399458
205	0.494758784
206	0.4946304304
207	0.4944882785
208	0.4944554295
209	0.4943316076
210	0.4942468399
211	0.494218395
212	0.4941232795
213	0.4940200845
214	0.4939361217
215	0.4937996956
216	0.4936930681
217	0.4935753913
218	0.4935190983
219	0.493361937
220	0.4932623631
221	0.4930348847
222	0.492826328
223	0.4927739849
224	0.4926445261
225	0.492518904
