Model,ROC-AUC,Precision,Recall,F1 Score
LightGBM,0.8787078658513188,0.17214873078298176,0.6990079845148802,0.276261056657901
XGBoost,0.8668052467136924,0.16236503262313068,0.6803774497943382,0.26216669774380014
CatBoost,0.8544296535882712,0.14839664007607375,0.6796515848052262,0.24360419738097303
Random Forest,0.8415666063256344,0.1900395139044211,0.6167432857488507,0.29055055283255443
Decision Tree,0.7973498704805723,0.14342159580114408,0.5884345511734818,0.23063063063063063
Logistic Regression,0.785045559345659,0.11051724137931035,0.6203726106944109,0.18761204404931767
